total_obligated_amount,Month,product_or_service_code_description,naics_description,recipient_name,funding_sub_agency_name
10000.0,2016M09,GASES: COMPRESSED AND LIQUEFIED,NATURAL GAS LIQUID EXTRACTION,"AMERIGAS PROPANE, L.P.",DEPT OF THE NAVY
1384.98,2016M02,"MINERAL CONSTRUCTION MATERIALS, BULK",CONSTRUCTION SAND AND GRAVEL MINING,"BRAATEN SAND & GRAVEL, INC",FEDERAL PRISON SYSTEM
542491.46,2017M05,MAINTENANCE OF FUEL SUPPLY FACILITIES,SUPPORT ACTIVITIES FOR OIL AND GAS OPERATIONS,"POND CONSTRUCTORS, INC",DEFENSE LOGISTICS AGENCY
21764.63,2016M03,OTHER QC/TEST/INSPECT- MISCELLANEOUS,CONSTRUCTION SAND AND GRAVEL MINING,MISCELLANEOUS FOREIGN AWARDEES,"STATE, DEPARTMENT OF"
256800.0,2020M12,"MINERAL CONSTRUCTION MATERIALS, BULK",OTHER CRUSHED AND BROKEN STONE MINING AND QUARRYING,FOREIGN AWARDEES (UNDISCLOSED),DEPT OF THE ARMY
5690.52,2019M02,MISCELLANEOUS ELECTRICAL AND ELECTRONIC COMPONENTS,SUPPORT ACTIVITIES FOR COAL MINING,"AVIATION DEVICES AND ELECTRONIC COMPONENTS, L.L.C.",DEFENSE LOGISTICS AGENCY
60604.51,2017M06,MISCELLANEOUS CONSTRUCTION MATERIALS,CONSTRUCTION SAND AND GRAVEL MINING,"BRIMHALL SAND, ROCK & BUILDING MATERIALS",BUREAU OF INDIAN AFFAIRS AND BUREAU OF INDIAN EDUCATION
1819.63,2021M05,MISCELLANEOUS CONSTRUCTION EQUIPMENT,CONSTRUCTION SAND AND GRAVEL MINING,OHIO GENERAL CONTRACTING LLC,DEPT OF THE AIR FORCE
561.7,2018M01,"BEARINGS, ANTIFRICTION, UNMOUNTED",SUPPORT ACTIVITIES FOR COAL MINING,JAMAICA BEARINGS CO INC,DEFENSE LOGISTICS AGENCY
599.6,2017M04,"MINERAL CONSTRUCTION MATERIALS, BULK",OTHER CRUSHED AND BROKEN STONE MINING AND QUARRYING,GREEN DREAM INTERNATIONAL LLC,DEPT OF THE ARMY
109.44,2016M12,"NAILS, MACHINE KEYS, AND PINS",SUPPORT ACTIVITIES FOR COAL MINING,GEORGIA WATER SPORTS LLC,DEFENSE LOGISTICS AGENCY
739.59,2017M11,"NAILS, MACHINE KEYS, AND PINS",SUPPORT ACTIVITIES FOR COAL MINING,KLX AEROSPACE SOLUTIONS DEFENSE LLC,DEFENSE LOGISTICS AGENCY
6320.86,2018M06,CONSTRUCTION OF MISCELLANEOUS BUILDINGS,CONSTRUCTION SAND AND GRAVEL MINING,ACHEAMPONG METAL WORKS,"STATE, DEPARTMENT OF"
6872.28,2020M09,FUEL OILS,SUPPORT ACTIVITIES FOR OIL AND GAS OPERATIONS,LAUREL FUEL OIL & HEATING CO INC,PUBLIC BUILDINGS SERVICE
250334.15,2021M09,"MINERAL CONSTRUCTION MATERIALS, BULK",CONSTRUCTION SAND AND GRAVEL MINING,SOCIEDAD ESPANOLA DE MONTAJES INDUSTRIALES SA,DEPT OF THE AIR FORCE
499.68,2019M02,"HARDWARE, COMMERCIAL",SUPPORT ACTIVITIES FOR COAL MINING,BASIC RUBBER AND PLASTICS CO.,DEFENSE LOGISTICS AGENCY
6960.0,2017M01,FUEL OILS,SUPPORT ACTIVITIES FOR OIL AND GAS OPERATIONS,SLATER OIL COMPANY,INDIAN HEALTH SERVICE
7520.0,2017M02,"BEARINGS, PLAIN, UNMOUNTED",SUPPORT ACTIVITIES FOR COAL MINING,KAMATICS CORPORATION,DEFENSE LOGISTICS AGENCY
5290.67,2017M01,"BUILDING COMPONENTS, PREFABRICATED",CONSTRUCTION SAND AND GRAVEL MINING,MISCELLANEOUS FOREIGN AWARDEES,"STATE, DEPARTMENT OF"
33593.68,2016M10,GASES: COMPRESSED AND LIQUEFIED,CRUDE PETROLEUM AND NATURAL GAS EXTRACTION,"CONSTELLATION NEWENERGY - GAS DIVISION, LLC",DEPT OF THE ARMY
3735.8,2016M11,MISCELLANEOUS CONSTRUCTION MATERIALS,CONSTRUCTION SAND AND GRAVEL MINING,MISCELLANEOUS FOREIGN AWARDEES,"STATE, DEPARTMENT OF"
154776.76,2017M05,"MINERAL CONSTRUCTION MATERIALS, BULK",CRUSHED AND BROKEN LIMESTONE MINING AND QUARRYING,KLA CONSTRUCTION SERVICE LLC,DEPT OF THE ARMY
594.0,2018M11,"NAILS, MACHINE KEYS, AND PINS",SUPPORT ACTIVITIES FOR COAL MINING,AMERI-CUT SOLUTIONS INC.,DEFENSE LOGISTICS AGENCY
22350.0,2017M09,"MINERAL CONSTRUCTION MATERIALS, BULK",CONSTRUCTION SAND AND GRAVEL MINING,R.L. BAKER TRUCKING LLC,DEPT OF THE ARMY
96364.0,2019M04,R&D- ENERGY: GAS (BASIC RESEARCH),NATURAL GAS EXTRACTION,"POTEN & PARTNERS, INC.",MARITIME ADMINISTRATION
20000.0,2018M09,"MINERAL CONSTRUCTION MATERIALS, BULK",OTHER CRUSHED AND BROKEN STONE MINING AND QUARRYING,KERNEN CONSTRUCTION,NATIONAL PARK SERVICE
89550.0,2016M08,"MINERAL CONSTRUCTION MATERIALS, BULK",CONSTRUCTION SAND AND GRAVEL MINING,AMERICAN CLASSIC CONSTRUCTION INC.,BUREAU OF RECLAMATION
24506.33,2018M03,ELECTRICAL HARDWARE AND SUPPLIES,CONSTRUCTION SAND AND GRAVEL MINING,MISCELLANEOUS FOREIGN AWARDEES,"STATE, DEPARTMENT OF"
98.0,2021M02,GASES: COMPRESSED AND LIQUEFIED,NATURAL GAS LIQUID EXTRACTION,"GIGA, INC.",FEDERAL ACQUISITION SERVICE
11035.49,2017M07,"LIQUID PROPELLANTS AND FUELS, PETROLEUM BASE",NATURAL GAS LIQUID EXTRACTION,ROGERS PETROLEUM INC.,FEDERAL PRISON SYSTEM / BUREAU OF PRISONS
147773.57,2020M10,GASES: COMPRESSED AND LIQUEFIED,NATURAL GAS EXTRACTION,"CONSTELLATION NEWENERGY - GAS DIVISION, LLC",DEPT OF THE ARMY
563.5,2020M05,"HARDWARE, COMMERCIAL",SUPPORT ACTIVITIES FOR COAL MINING,ULTRA INDUSTRIES INC.,DEFENSE LOGISTICS AGENCY
197447.11,2018M10,UTILITIES- GAS,CRUDE PETROLEUM AND NATURAL GAS EXTRACTION,WASHINGTON GAS ENERGY SERVICES INC,J. F. KENNEDY CENTER FOR THE PERFORMING ARTS
52572.0,2021M01,"MINERAL CONSTRUCTION MATERIALS, BULK",OTHER CRUSHED AND BROKEN STONE MINING AND QUARRYING,GREEN DREAM INTERNATIONAL LLC,DEPT OF THE ARMY
127568.0,2019M11,SUPPORT- PROFESSIONAL: ENGINEERING/TECHNICAL,SUPPORT ACTIVITIES FOR NONMETALLIC MINERALS (EXCEPT FUELS),"PALMERTON & PARRISH, INC.",DEPT OF THE ARMY
1404.9,2021M06,"NAILS, MACHINE KEYS, AND PINS",SUPPORT ACTIVITIES FOR COAL MINING,ALLIED TOOLS INC.,DEFENSE LOGISTICS AGENCY
4907.25,2016M06,"MINERAL CONSTRUCTION MATERIALS, BULK",CONSTRUCTION SAND AND GRAVEL MINING,MISCELLANEOUS FOREIGN AWARDEES,"STATE, DEPARTMENT OF"
1562.56,2020M01,MISCELLANEOUS ELECTRICAL AND ELECTRONIC COMPONENTS,SUPPORT ACTIVITIES FOR COAL MINING,"AVIATION DEVICES AND ELECTRONIC COMPONENTS, L.L.C.",DEFENSE LOGISTICS AGENCY
0.0,2016M08,"NAILS, MACHINE KEYS, AND PINS",SUPPORT ACTIVITIES FOR COAL MINING,REID PRODUCTS INC.,DEFENSE LOGISTICS AGENCY
196.0,2020M12,GASES: COMPRESSED AND LIQUEFIED,NATURAL GAS LIQUID EXTRACTION,"GIGA, INC.",FEDERAL ACQUISITION SERVICE
186319.12,2017M06,ENVIRONMENTAL SYSTEMS PROTECTION- MULTIPLE POLLUTANT SUPPORT,CRUDE PETROLEUM AND NATURAL GAS EXTRACTION,REDD ENGINEERING & CONSTRUCTION INC,BUREAU OF LAND MANAGEMENT
193563.78,2021M05,MISCELLANEOUS CONSTRUCTION MATERIALS,CRUSHED AND BROKEN LIMESTONE MINING AND QUARRYING,RAWAN ALFARAH COMPANY,DEPT OF THE ARMY
250.0,2020M10,"NAILS, MACHINE KEYS, AND PINS",SUPPORT ACTIVITIES FOR COAL MINING,CTN MACHINING,DEFENSE LOGISTICS AGENCY
15939.56,2016M04,"MINERAL CONSTRUCTION MATERIALS, BULK",CONSTRUCTION SAND AND GRAVEL MINING,BLUE ROCK STRUCTURES INC.,DEPT OF THE NAVY
0.0,2019M11,GASOLINE ROTARY ENGINES AND COMPONENTS,NATURAL GAS EXTRACTION,MISCELLANEOUS FOREIGN AWARDEES,"STATE, DEPARTMENT OF"
4837.4,2018M10,MISCELLANEOUS ELECTRICAL AND ELECTRONIC COMPONENTS,SUPPORT ACTIVITIES FOR COAL MINING,"AVIATION DEVICES AND ELECTRONIC COMPONENTS, L.L.C.",DEFENSE LOGISTICS AGENCY
644.4,2019M10,"HARDWARE, COMMERCIAL",SUPPORT ACTIVITIES FOR COAL MINING,GRUP TEKNIK HIRDAVAT VE OTOMOTIV SANAYI LIMITED SIRKETI,DEFENSE LOGISTICS AGENCY
428.45,2016M10,"NAILS, MACHINE KEYS, AND PINS",SUPPORT ACTIVITIES FOR COAL MINING,"STAMCO AEROSPACE, INC.",DEFENSE LOGISTICS AGENCY
2037.0,2017M03,"BEARINGS, ANTIFRICTION, UNMOUNTED",SUPPORT ACTIVITIES FOR COAL MINING,"BROWN HELICOPTER, INC.",DEFENSE LOGISTICS AGENCY
9914.22,2020M06,"MINERAL CONSTRUCTION MATERIALS, BULK",CRUSHED AND BROKEN LIMESTONE MINING AND QUARRYING,"SOUTHERN WEST VIRGINIA ASPHALT, INC",FOREST SERVICE
98.0,2019M01,GASES: COMPRESSED AND LIQUEFIED,NATURAL GAS LIQUID EXTRACTION,"GIGA, INC.",FEDERAL ACQUISITION SERVICE
12349.8,2016M01,HOUSEKEEPING- SNOW REMOVAL/SALT,OTHER CHEMICAL AND FERTILIZER MINERAL MINING,"R.B.S., INC.",FEDERAL PRISON SYSTEM
24764.03,2021M09,"MINERAL CONSTRUCTION MATERIALS, BULK",CRUSHED AND BROKEN LIMESTONE MINING AND QUARRYING,VULCAN MATERIALS COMPANY,U.S. FISH AND WILDLIFE SERVICE
14400.0,2020M12,"BEARINGS, PLAIN, UNMOUNTED",SUPPORT ACTIVITIES FOR COAL MINING,RIX INDUSTRIES,DEFENSE LOGISTICS AGENCY
240000.0,2020M03,"MINERAL CONSTRUCTION MATERIALS, BULK",OTHER CRUSHED AND BROKEN STONE MINING AND QUARRYING,"MONTEZUMA, COUNTY OF",FOREST SERVICE
1853.25,2016M10,NUTS AND WASHERS,SUPPORT ACTIVITIES FOR COAL MINING,UNICAL DEFENSE INC.,DEFENSE LOGISTICS AGENCY
771.9,2019M05,"BEARINGS, ANTIFRICTION, UNMOUNTED",SUPPORT ACTIVITIES FOR COAL MINING,APEX PINNACLE CORP.,DEFENSE LOGISTICS AGENCY
7904.4,2020M05,MISCELLANEOUS ELECTRICAL AND ELECTRONIC COMPONENTS,SUPPORT ACTIVITIES FOR COAL MINING,"AVIATION DEVICES AND ELECTRONIC COMPONENTS, L.L.C.",DEFENSE LOGISTICS AGENCY
23497.23,2019M05,CONSTRUCTION OF MAINTENANCE BUILDINGS,CONSTRUCTION SAND AND GRAVEL MINING,MISCELLANEOUS FOREIGN AWARDEES,"STATE, DEPARTMENT OF"
83253.51,2021M07,MISCELLANEOUS CONSTRUCTION MATERIALS,CRUSHED AND BROKEN LIMESTONE MINING AND QUARRYING,BARNREUTHER+DEUERLEIN SCHOTTERWERKE GMBH & CO.KG,DEPT OF THE ARMY
987.4,2018M06,"COFFEE, TEA, AND COCOA","POTASH, SODA, AND BORATE MINERAL MINING",ARMY & AIR FORCE EXCHANGE SERVICE,DEFENSE LOGISTICS AGENCY
95099.03,2016M07,GASES: COMPRESSED AND LIQUEFIED,CRUDE PETROLEUM AND NATURAL GAS EXTRACTION,"ATMOS ENERGY MARKETING, LLC",DEPT OF THE ARMY
858.52,2019M10,MISCELLANEOUS ELECTRICAL AND ELECTRONIC COMPONENTS,SUPPORT ACTIVITIES FOR COAL MINING,"AVIATION DEVICES AND ELECTRONIC COMPONENTS, L.L.C.",DEFENSE LOGISTICS AGENCY
127.52,2020M05,"HARDWARE, COMMERCIAL",SUPPORT ACTIVITIES FOR COAL MINING,AMERICAN DEFENSE GROUP LLC,DEFENSE LOGISTICS AGENCY
11380.0,2020M04,"NAILS, MACHINE KEYS, AND PINS",SUPPORT ACTIVITIES FOR COAL MINING,"TRIMAN INDUSTRIES, INC.",DEFENSE LOGISTICS AGENCY
21168.0,2020M02,"NAILS, MACHINE KEYS, AND PINS",SUPPORT ACTIVITIES FOR COAL MINING,"ECI DEFENSE GROUP, INC.",DEFENSE LOGISTICS AGENCY
53500.0,2019M05,"MINERAL CONSTRUCTION MATERIALS, BULK",CONSTRUCTION SAND AND GRAVEL MINING,CINDERLITE TRUCKING CORPORATION,DEPT OF THE NAVY
141750.0,2020M04,"MINERAL CONSTRUCTION MATERIALS, BULK",OTHER CRUSHED AND BROKEN STONE MINING AND QUARRYING,DOLESE BROS. CO.,DEPT OF THE ARMY
369996.82,2020M09,NATURAL RESOURCES/CONSERVATION- SURFACE MINING RECLAMATION (NON-CONSTRUCTION),CONSTRUCTION SAND AND GRAVEL MINING,"J BROTHERS TRUCKING & EXCAVATION, LLC",DEPT OF THE AIR FORCE
4968.0,2017M01,AIR CONDITIONING EQUIPMENT,COPPER ORE AND NICKEL ORE MINING,MISCELLANEOUS FOREIGN AWARDEES,"STATE, DEPARTMENT OF"
2086.72,2018M08,PACKING AND GASKET MATERIALS,SUPPORT ACTIVITIES FOR COAL MINING,"AVIATION DEVICES AND ELECTRONIC COMPONENTS, L.L.C.",DEFENSE LOGISTICS AGENCY
0.0,2019M10,GASES: COMPRESSED AND LIQUEFIED,CRUDE PETROLEUM AND NATURAL GAS EXTRACTION,"CONSTELLATION NEWENERGY - GAS DIVISION, LLC",DEPT OF THE ARMY
1339.6,2020M10,MISCELLANEOUS POWER TRANSMISSION EQUIPMENT,SUPPORT ACTIVITIES FOR COAL MINING,"HYDRAULICS INTERNATIONAL, INC.",DEFENSE LOGISTICS AGENCY
43400.0,2016M12,MISCELLANEOUS SERVICE AND TRADE EQUIPMENT,CONSTRUCTION SAND AND GRAVEL MINING,MISCELLANEOUS FOREIGN AWARDEES,DEPT OF THE ARMY
16349.42,2019M08,"MINERAL CONSTRUCTION MATERIALS, BULK",OTHER CRUSHED AND BROKEN STONE MINING AND QUARRYING,"GULF HOLDINGS, LLC",U.S. FISH AND WILDLIFE SERVICE
762.5,2018M07,"NAILS, MACHINE KEYS, AND PINS",SUPPORT ACTIVITIES FOR COAL MINING,JUNIPER ELBOW CO. INC.,DEFENSE LOGISTICS AGENCY
133441.84,2016M05,INFORMATION TECHNOLOGY SOFTWARE,SUPPORT ACTIVITIES FOR OIL AND GAS OPERATIONS,SCHLUMBERGER TECHNOLOGY CORPORATION,"ENERGY, DEPARTMENT OF"
1205.0,2017M10,"BEVERAGES, NONALCOHOLIC","POTASH, SODA, AND BORATE MINERAL MINING",ARMY & AIR FORCE EXCHANGE SERVICE,DEFENSE LOGISTICS AGENCY
81560.0,2020M03,"MINERAL CONSTRUCTION MATERIALS, BULK",CONSTRUCTION SAND AND GRAVEL MINING,"BAYER CONSTRUCTION COMPANY, INC.",DEPT OF THE ARMY
1828.0,2016M03,MISCELLANEOUS POWER TRANSMISSION EQUIPMENT,SUPPORT ACTIVITIES FOR COAL MINING,"JIT INDUSTRIES, INC.",DEFENSE LOGISTICS AGENCY
8507.54,2016M12,UTILITIES- ELECTRIC,CRUDE PETROLEUM AND NATURAL GAS EXTRACTION,"AMERESCO SELECT, INC.",DEPT OF THE ARMY
12750.0,2021M06,FUEL OILS,SUPPORT ACTIVITIES FOR OIL AND GAS OPERATIONS,MISCELLANEOUS FOREIGN AWARDEES,"STATE, DEPARTMENT OF"
188.74,2020M02,MISCELLANEOUS ELECTRICAL AND ELECTRONIC COMPONENTS,SUPPORT ACTIVITIES FOR COAL MINING,"AVIATION DEVICES AND ELECTRONIC COMPONENTS, L.L.C.",DEFENSE LOGISTICS AGENCY
2050.0,2017M01,"BEARINGS, ANTIFRICTION, UNMOUNTED",SUPPORT ACTIVITIES FOR COAL MINING,JAMAICA BEARINGS CO INC,DEFENSE LOGISTICS AGENCY
332.0,2018M02,"BEVERAGES, NONALCOHOLIC","POTASH, SODA, AND BORATE MINERAL MINING",ARMY & AIR FORCE EXCHANGE SERVICE,DEFENSE LOGISTICS AGENCY
0.0,2018M01,"BEVERAGES, NONALCOHOLIC","POTASH, SODA, AND BORATE MINERAL MINING",ARMY & AIR FORCE EXCHANGE SERVICE,DEFENSE LOGISTICS AGENCY
5250.0,2017M11,"BEVERAGES, NONALCOHOLIC","POTASH, SODA, AND BORATE MINERAL MINING",ARMY & AIR FORCE EXCHANGE SERVICE,DEFENSE LOGISTICS AGENCY
191.1,2017M01,PACKING AND GASKET MATERIALS,SUPPORT ACTIVITIES FOR COAL MINING,"HERNDON PRODUCTS, LLC",DEFENSE LOGISTICS AGENCY
2000.0,2019M12,"MINERAL CONSTRUCTION MATERIALS, BULK",CRUSHED AND BROKEN LIMESTONE MINING AND QUARRYING,"WILLARD QUARRIES, INC.",DEPT OF THE ARMY
44389.0,2020M02,"MINERAL CONSTRUCTION MATERIALS, BULK",CRUSHED AND BROKEN LIMESTONE MINING AND QUARRYING,"BOXLEY AGGREGATES OF WEST VIRGINIA, L.L.C.",FOREST SERVICE
5136.0,2018M10,"BEARINGS, PLAIN, UNMOUNTED",SUPPORT ACTIVITIES FOR COAL MINING,GALAXY DIE & ENGINEERING INC,DEFENSE LOGISTICS AGENCY
122281.47,2020M03,GASES: COMPRESSED AND LIQUEFIED,NATURAL GAS EXTRACTION,"CONSTELLATION NEWENERGY - GAS DIVISION, LLC",DEPT OF THE ARMY
471278.21,2019M12,UTILITIES- GAS,CRUDE PETROLEUM AND NATURAL GAS EXTRACTION,"CENTERPOINT ENERGY SERVICES, INC.","VETERANS AFFAIRS, DEPARTMENT OF"
5924.42,2018M07,MISCELLANEOUS CONSTRUCTION MATERIALS,CONSTRUCTION SAND AND GRAVEL MINING,MISCELLANEOUS FOREIGN AWARDEES,"STATE, DEPARTMENT OF"
609927.7,2016M04,"MINERAL CONSTRUCTION MATERIALS, BULK",CRUSHED AND BROKEN GRANITE MINING AND QUARRYING,BOBBIES MARINE SERVICES LLC,U.S. ARMY CORPS OF ENGINEERS - CIVIL PROGRAM FINANCING ONLY
228954.18,2016M05,FUEL OILS,CRUDE PETROLEUM AND NATURAL GAS EXTRACTION,MISCELLANEOUS FOREIGN AWARDEES,"STATE, DEPARTMENT OF"
84425.0,2016M09,CONSTRUCTION OF MISCELLANEOUS BUILDINGS,CONSTRUCTION SAND AND GRAVEL MINING,MISCELLANEOUS FOREIGN AWARDEES,"STATE, DEPARTMENT OF"
50733.21,2016M05,GASES: COMPRESSED AND LIQUEFIED,CRUDE PETROLEUM AND NATURAL GAS EXTRACTION,"CONSTELLATION NEWENERGY - GAS DIVISION, LLC",DEPT OF THE AIR FORCE
11367.69,2016M04,"MINERAL CONSTRUCTION MATERIALS, BULK",CRUSHED AND BROKEN LIMESTONE MINING AND QUARRYING,"RANDY KINDER EXCAVATING, INC.",FOREST SERVICE
7948.2,2017M08,"MINERALS, NATURAL AND SYNTHETIC",ALL OTHER NONMETALLIC MINERAL MINING,AMERICAN CLASSIC CONSTRUCTION INC.,DEPT OF THE NAVY
14000.0,2019M09,CONSTRUCTION OF PARKING FACILITIES,CONSTRUCTION SAND AND GRAVEL MINING,MISCELLANEOUS FOREIGN AWARDEES,"STATE, DEPARTMENT OF"
25485.98,2018M01,MISCELLANEOUS CONSTRUCTION MATERIALS,CONSTRUCTION SAND AND GRAVEL MINING,PRIME ONE GENERAL TRADING & CONTRACTING CO. WLL,DEPT OF THE AIR FORCE
4526.94,2019M05,MISCELLANEOUS ELECTRICAL AND ELECTRONIC COMPONENTS,SUPPORT ACTIVITIES FOR COAL MINING,"AVIATION DEVICES AND ELECTRONIC COMPONENTS, L.L.C.",DEFENSE LOGISTICS AGENCY
11725.0,2017M11,MISCELLANEOUS CONSTRUCTION MATERIALS,SUPPORT ACTIVITIES FOR COAL MINING,"ALFAB, INC.",DEFENSE LOGISTICS AGENCY
39512.0,2021M08,OTHER QC/TEST/INSPECT- SHIP AND MARINE EQUIPMENT,SUPPORT ACTIVITIES FOR OIL AND GAS OPERATIONS,"PROFESSIONAL TANK CLEANING, INC.",U.S. COAST GUARD
6276.94,2016M09,GASES: COMPRESSED AND LIQUEFIED,NATURAL GAS LIQUID EXTRACTION,LIQUIGAS SPA,DEPT OF THE ARMY
641.3,2020M11,MISCELLANEOUS ELECTRICAL AND ELECTRONIC COMPONENTS,SUPPORT ACTIVITIES FOR COAL MINING,"AVIATION DEVICES AND ELECTRONIC COMPONENTS, L.L.C.",DEFENSE LOGISTICS AGENCY
708.0,2016M08,"BEARINGS, PLAIN, UNMOUNTED",SUPPORT ACTIVITIES FOR COAL MINING,"ARKWIN INDUSTRIES, INC.",DEFENSE LOGISTICS AGENCY
8535.54,2019M09,"HARDWARE, COMMERCIAL",SUPPORT ACTIVITIES FOR COAL MINING,BASIC RUBBER AND PLASTICS CO.,DEFENSE LOGISTICS AGENCY
39900.0,2019M09,"MINERALS, NATURAL AND SYNTHETIC",OTHER CRUSHED AND BROKEN STONE MINING AND QUARRYING,YOUDERIAN CONSTRUCTION INC,BUREAU OF LAND MANAGEMENT
731.5,2017M12,"BEVERAGES, NONALCOHOLIC","POTASH, SODA, AND BORATE MINERAL MINING",ARMY & AIR FORCE EXCHANGE SERVICE,DEFENSE LOGISTICS AGENCY
7168.4,2019M09,MISCELLANEOUS ELECTRICAL AND ELECTRONIC COMPONENTS,SUPPORT ACTIVITIES FOR COAL MINING,"AVIATION DEVICES AND ELECTRONIC COMPONENTS, L.L.C.",DEFENSE LOGISTICS AGENCY
10061.93,2018M07,REPAIR OR ALTERATION OF OTHER NON-BUILDING FACILITIES,CONSTRUCTION SAND AND GRAVEL MINING,MISCELLANEOUS FOREIGN AWARDEES,"STATE, DEPARTMENT OF"
126417.77,2021M08,"MINERAL CONSTRUCTION MATERIALS, BULK",CONSTRUCTION SAND AND GRAVEL MINING,FAST WORKS COMPANY FOR GENERAL TRADING LTD.,DEPT OF THE ARMY
84050.0,2017M10,"MINERAL CONSTRUCTION MATERIALS, BULK",OTHER CRUSHED AND BROKEN STONE MINING AND QUARRYING,GREEN DREAM INTERNATIONAL LLC,DEPT OF THE ARMY
2906.44,2018M12,"LIQUID PROPELLANTS AND FUELS, PETROLEUM BASE",NATURAL GAS LIQUID EXTRACTION,"AMERIGAS PROPANE, L.P.",DEPT OF THE ARMY
0.0,2017M03,MISCELLANEOUS POWER TRANSMISSION EQUIPMENT,SUPPORT ACTIVITIES FOR COAL MINING,"GENERAL DYNAMICS-OTS, INC.",DEFENSE LOGISTICS AGENCY
34563.98,2020M09,SPECIAL STUDIES/ANALYSIS- SOIL,SUPPORT ACTIVITIES FOR OIL AND GAS OPERATIONS,"WILLBORN BROS, CO.",AGRICULTURAL RESEARCH SERVICE
47735.0,2020M08,"MINERAL CONSTRUCTION MATERIALS, BULK",OTHER CRUSHED AND BROKEN STONE MINING AND QUARRYING,FOREIGN AWARDEES (UNDISCLOSED),DEPT OF THE ARMY
1711.72,2021M06,"MINERAL CONSTRUCTION MATERIALS, BULK",CONSTRUCTION SAND AND GRAVEL MINING,OPEN CO./ LTD FOR GENERAL TRADING AND LIFE SUPPORT SERVICES,DEPT OF THE ARMY
1074.24,2017M05,"NAILS, MACHINE KEYS, AND PINS",SUPPORT ACTIVITIES FOR COAL MINING,C CROUTHAMEL & CO INC,DEFENSE LOGISTICS AGENCY
8231.02,2019M01,PACKING AND GASKET MATERIALS,SUPPORT ACTIVITIES FOR COAL MINING,BASIC RUBBER AND PLASTICS CO.,DEFENSE LOGISTICS AGENCY
98.0,2019M07,GASES: COMPRESSED AND LIQUEFIED,NATURAL GAS LIQUID EXTRACTION,"GIGA, INC.",FEDERAL ACQUISITION SERVICE
160017.97,2016M06,"MINERAL CONSTRUCTION MATERIALS, BULK",CRUSHED AND BROKEN LIMESTONE MINING AND QUARRYING,GREEN DREAM INTERNATIONAL LLC,DEPT OF THE ARMY
1000.0,2020M08,O-RING,SUPPORT ACTIVITIES FOR COAL MINING,OHIO MACHINERY CO.,DEFENSE LOGISTICS AGENCY
6171.01,2017M04,MISCELLANEOUS POWER TRANSMISSION EQUIPMENT,SUPPORT ACTIVITIES FOR COAL MINING,"EAGLE DISTRIBUTING ENTERPRISES, INC.",DEFENSE LOGISTICS AGENCY
392.0,2019M03,GASES: COMPRESSED AND LIQUEFIED,NATURAL GAS LIQUID EXTRACTION,"GIGA, INC.",FEDERAL ACQUISITION SERVICE
20908.42,2019M05,"MINERAL CONSTRUCTION MATERIALS, BULK",CONSTRUCTION SAND AND GRAVEL MINING,"TRUSTY TRUCKING, INC.",FOREST SERVICE
16398.75,2021M09,"MINERAL CONSTRUCTION MATERIALS, BULK",CONSTRUCTION SAND AND GRAVEL MINING,"G. K. CONSTRUCTION, INC.",BUREAU OF LAND MANAGEMENT
245926.0,2021M03,ARCHITECT AND ENGINEERING- CONSTRUCTION: MISCELLANEOUS BUILDINGS,CONSTRUCTION SAND AND GRAVEL MINING,MISCELANEOS SECURITY SERVICES SOCIEDAD ANONIMA,"STATE, DEPARTMENT OF"
8732.65,2018M03,"MINERAL CONSTRUCTION MATERIALS, BULK",OTHER CRUSHED AND BROKEN STONE MINING AND QUARRYING,"SUPPLIED INDUSTRIAL SOLUTIONS, INC.",DEPT OF THE ARMY
8304.04,2018M01,"FENCING, FENCES, GATES AND COMPONENTS",CONSTRUCTION SAND AND GRAVEL MINING,MISCELLANEOUS FOREIGN AWARDEES,"STATE, DEPARTMENT OF"
12.0,2018M04,"NAILS, MACHINE KEYS, AND PINS",SUPPORT ACTIVITIES FOR COAL MINING,SERVAL MANAGEMENT LLC,DEFENSE LOGISTICS AGENCY
239000.0,2021M09,"MINERAL CONSTRUCTION MATERIALS, BULK",CONSTRUCTION SAND AND GRAVEL MINING,"NEXT GENERATION LOGISTICS, LLC",FEDERAL EMERGENCY MANAGEMENT AGENCY
6578.91,2018M03,"MINERAL CONSTRUCTION MATERIALS, BULK",CRUSHED AND BROKEN LIMESTONE MINING AND QUARRYING,GREEN DREAM INTERNATIONAL LLC,FOREST SERVICE
90.5,2018M04,"BEVERAGES, NONALCOHOLIC","POTASH, SODA, AND BORATE MINERAL MINING",ARMY & AIR FORCE EXCHANGE SERVICE,DEFENSE LOGISTICS AGENCY
3814.53,2016M04,"BUILDING COMPONENTS, PREFABRICATED",CONSTRUCTION SAND AND GRAVEL MINING,MISCELLANEOUS FOREIGN AWARDEES,"STATE, DEPARTMENT OF"
11056.5,2016M08,"MINERAL CONSTRUCTION MATERIALS, BULK",CONSTRUCTION SAND AND GRAVEL MINING,MARK E JOHNSTON CONSTRUCTION L,FOREST SERVICE
9914.0,2017M09,FUEL OILS,NATURAL GAS LIQUID EXTRACTION,D & R PROPANE INC,INDIAN HEALTH SERVICE
2165.24,2019M05,O-RING,SUPPORT ACTIVITIES FOR COAL MINING,"SOUTHERN AUTOMOTIVE WHOLESALERS, INC.",DEFENSE LOGISTICS AGENCY
